Lat-Long,Count,
40.66-74.42,2,
40.69-74.01,4,
40.66-74.40,3,
40.68-74.12,2,
40.67-74.22,4,
40.68-74.11,8,
40.67-74.21,2,
40.68-74.17,2,
40.67-74.27,1,
40.68-74.10,2,
40.67-74.24,1,
40.67-74.23,1,
40.67-74.25,1,
40.73-73.70,6,
40.74-73.43,1,
40.73-73.71,10,
40.73-73.72,4,
40.73-73.73,4,
40.76-73.69,13,
40.69-74.30,2,
40.74-73.44,2,
40.76-73.68,2,
40.75-73.95,452,
40.31-74.11,1,
40.75-73.94,875,
40.76-73.66,1,
40.75-73.97,8529,
40.76-73.65,1,
40.75-73.96,818,
40.76-73.64,4,
40.75-73.99,22447,
40.76-73.63,6,
40.75-73.98,20807,
40.76-73.62,1,
40.77-73.42,2,
40.75-73.91,119,
40.75-73.90,57,
40.75-73.93,205,
40.75-73.92,151,
40.73-73.78,13,
40.73-73.79,34,
40.78-73.10,1,
40.73-73.74,12,
40.68-74.65,1,
40.77-73.46,1,
40.73-73.75,12,
40.73-73.76,5,
40.73-73.77,2,
40.74-73.54,2,
40.73-73.60,11,
40.73-73.61,1,
40.73-73.62,1,
40.74-73.51,1,
40.74-73.58,1,
40.69-74.20,4,
40.76-73.79,15,
40.75-73.84,16,
40.76-73.78,7,
40.69-74.22,1,
40.75-73.83,40,
40.76-73.77,34,
40.69-74.21,2,
40.75-73.86,14,
40.76-73.76,16,
40.69-74.24,1,
40.75-73.85,99,
40.76-73.75,6,
40.74-73.59,4,
40.75-73.88,55,
40.76-73.74,3,
40.69-74.26,1,
40.75-73.87,36,
40.69-74.25,3,
40.76-73.73,6,
40.76-73.72,6,
40.75-73.89,112,
40.69-74.27,1,
40.76-73.71,3,
40.76-73.70,10,
40.69-74.19,45,
40.77-73.53,10,
40.69-74.18,2244,
40.77-73.52,2,
40.75-73.80,4,
40.75-73.82,18,
40.75-73.81,2,
40.73-73.67,4,
40.73-73.68,4,
40.73-73.69,2,
40.73-73.63,7,
40.74-73.50,1,
40.77-73.57,1,
40.73-73.64,1,
40.77-73.59,2,
40.73-73.66,7,
40.74-73.65,5,
40.73-73.92,13,
40.74-73.64,8,
40.73-73.93,5,
40.73-73.94,266,
40.74-73.63,6,
40.73-73.95,1059,
40.74-73.62,16,
40.74-73.69,9,
40.74-73.68,2,
40.76-73.48,1,
40.73-73.90,36,
40.74-73.67,2,
40.73-73.91,18,
40.74-73.66,2,
40.72-73.84,131,
40.75-73.73,2,
40.72-73.85,137,
40.75-73.72,10,
40.72-73.82,28,
40.76-73.43,4,
40.75-73.75,5,
40.72-73.83,21,
40.76-73.42,1,
40.75-73.74,1,
40.72-73.80,67,
40.75-73.77,4,
40.72-73.81,29,
40.75-73.76,8,
40.75-73.79,10,
40.75-73.78,4,
40.72-73.88,27,
40.72-73.89,27,
40.72-73.86,39,
40.75-73.71,12,
40.72-73.87,32,
40.75-73.70,2,
40.73-73.96,1066,
40.74-73.61,21,
40.73-73.97,242,
40.74-73.60,7,
40.73-73.98,8297,
40.73-73.99,19869,
40.73-73.81,28,
40.74-73.76,8,
40.73-73.82,42,
40.74-73.75,7,
40.75-73.69,1,
40.73-73.83,16,
40.74-73.74,1,
40.73-73.84,5,
40.74-73.73,2,
40.69-74.40,1,
40.76-73.59,1,
40.74-73.79,8,
40.74-73.78,18,
40.69-74.41,1,
40.73-73.80,14,
40.72-73.95,1993,
40.75-73.62,5,
40.72-73.96,4720,
40.75-73.61,2,
40.76-73.55,1,
40.69-74.43,1,
40.75-73.64,5,
40.72-73.93,10,
40.76-73.54,1,
40.79-73.10,1,
40.72-73.94,769,
40.76-73.53,2,
40.72-73.91,40,
40.75-73.66,1,
40.72-73.92,5,
40.76-73.51,1,
40.75-73.65,2,
40.79-73.14,1,
40.76-73.50,3,
40.72-73.90,34,
40.75-73.67,1,
40.78-73.29,1,
40.72-73.99,13932,
40.72-73.97,162,
40.75-73.60,2,
